ADC—Add
14 ib                                   |ADC AL, imm8
VEX.LIG.66.0F38.W0 BD /r                |VFNMADD231SS xmm1, xmm2,xmm3/m32
VFNMSUB132PD/VFNMSUB213PD/VFNMSUB231PD—Fused
VEX.128.66.0F38.W1 9E /r                |VFNMSUB132PD xmm1, xmm2,xmm3/m128
VEX.128.66.0F38.W1 AE /r                |VFNMSUB213PD xmm1, xmm2,xmm3/m128
VEX.128.66.0F38.W1 BE /r                |VFNMSUB231PD xmm1, xmm2,xmm3/m128
VEX.256.66.0F38.W1 9E /r                |VFNMSUB132PD ymm1, ymm2,ymm3/m256
VEX.256.66.0F38.W1 AE /r                |VFNMSUB213PD ymm1, ymm2,ymm3/m256
VEX.256.66.0F38.W1 BE /r                |VFNMSUB231PD ymm1, ymm2,ymm3/m256
VFNMSUB132PS/VFNMSUB213PS/VFNMSUB231PS—Fused
VEX.128.66.0F38.W0 9E /r                |VFNMSUB132PS xmm1, xmm2,xmm3/m128
VEX.128.66.0F38.W0 AE /r                |VFNMSUB213PS xmm1, xmm2,xmm3/m128
VEX.128.66.0F38.W0 BE /r                |VFNMSUB231PS xmm1, xmm2,xmm3/m128
VEX.256.66.0F38.W0 9E /r                |VFNMSUB132PS ymm1, ymm2,ymm3/m256
VEX.256.66.0F38.W0 AE /r                |VFNMSUB213PS ymm1, ymm2,ymm3/m256
VEX.256.66.0F38.0 BE /r                 |VFNMSUB231PS ymm1, ymm2,ymm3/m256
VFNMSUB132SD/VFNMSUB213SD/VFNMSUB231SD—Fused
VEX.LIG.66.0F38.W1 9F /r                |VFNMSUB132SD xmm1, xmm2,xmm3/m64
VEX.LIG.66.0F38.W1 AF /r                |VFNMSUB213SD xmm1, xmm2,xmm3/m64
VEX.LIG.66.0F38.W1 BF /r                |VFNMSUB231SD xmm1, xmm2,xmm3/m64
VFNMSUB132SS/VFNMSUB213SS/VFNMSUB231SS—Fused
VEX.LIG.66.0F38.W0 9F /r                |VFNMSUB132SS xmm1, xmm2,xmm3/m32
VEX.LIG.66.0F38.W0 AF /r                |VFNMSUB213SS xmm1, xmm2,xmm3/m32
VEX.LIG.66.0F38.W0 BF /r                |VFNMSUB231SS xmm1, xmm2,xmm3/m32
VGATHERDPD/VGATHERQPD—Gather
VEX.128.66.0F38.W1 92 /r                |VGATHERDPD xmm1, vm32x, xmm2
VEX.128.66.0F38.W1 93 /r                |VGATHERQPD xmm1, vm64x, xmm2
VEX.256.66.0F38.W1 92 /r                |VGATHERDPD ymm1, vm32x, ymm2
VEX.256.66.0F38.W1 93 /r                |VGATHERQPD ymm1, vm64y, ymm2
VGATHERDPS/VGATHERQPS—Gather
VEX.128.66.0F38.W0 92 /r                |VGATHERDPS xmm1, vm32x, xmm2
VEX.128.66.0F38.W0 93 /r                |VGATHERQPS xmm1, vm64x, xmm2
VEX.256.66.0F38.W0 92 /r                |VGATHERDPS ymm1, vm32y, ymm2
VEX.256.66.0F38.W0 93 /r                |VGATHERQPS xmm1, vm64y, xmm2
VINSERTF128/VINSERTF32x4/VINSERTF64x2/VINSERTF32x8/VINSERTF64x4—Insert
VEX.256.66.0F3A.W0 18 /r ib             |VINSERTF128 ymm1, ymm2,xmm3/m128, imm8
VINSERTI128/VINSERTI32x4/VINSERTI64x2/VINSERTI32x8/VINSERTI64x4—Insert
VEX.256.66.0F3A.W0 38 /r ib             |VINSERTI128 ymm1, ymm2,xmm3/m128, imm8
VMASKMOV—Conditional
VEX.128.66.0F38.W0 2C /r                |VMASKMOVPS xmm1, xmm2, m128
VEX.256.66.0F38.W0 2C /r                |VMASKMOVPS ymm1, ymm2, m256
VEX.128.66.0F38.W0 2D /r                |VMASKMOVPD xmm1, xmm2, m128
VEX.256.66.0F38.W0 2D /r                |VMASKMOVPD ymm1, ymm2, m256
VEX.128.66.0F38.W0 2E /r                |VMASKMOVPS m128, xmm1, xmm2
VEX.256.66.0F38.W0 2E /r                |VMASKMOVPS m256, ymm1, ymm2
VEX.128.66.0F38.W0 2F /r                |VMASKMOVPD m128, xmm1, xmm2
VEX.256.66.0F38.W0 2F /r                |VMASKMOVPD m256, ymm1, ymm2
VPBLENDD—Blend
VEX.128.66.0F3A.W0 02 /r ib             |VPBLENDD xmm1, xmm2, xmm3/m128, imm8
VEX.256.66.0F3A.W0 02 /r ib             |VPBLENDD ymm1, ymm2, ymm3/m256, imm8
VPBROADCAST—Load
VEX.128.66.0F38.W0 78 /r                |VPBROADCASTB xmm1, xmm2/m8
VEX.256.66.0F38.W0 78 /r                |VPBROADCASTB ymm1, xmm2/m8
VEX.128.66.0F38.W0 79 /r                |VPBROADCASTW xmm1, xmm2/m16
VEX.256.66.0F38.W0 79 /r                |VPBROADCASTW ymm1, xmm2/m16
VEX.128.66.0F38.W0 58 /r                |VPBROADCASTD xmm1, xmm2/m32
VEX.256.66.0F38.W0 58 /r                |VPBROADCASTD ymm1, xmm2/m32
VEX.128.66.0F38.W0 59 /r                |VPBROADCASTQ xmm1, xmm2/m64
VEX.256.66.0F38.W0 59 /r                |VPBROADCASTQ ymm1, xmm2/m64
VPBROADCAST—Load
VEX.256.66.0F38.W0 5A /r                |VBROADCASTI128 ymm1, m128
VPDPBUSD—Multiply
VEX.128.66.0F38.W0 50 /r                |VPDPBUSD xmm1, xmm2,xmm3/m128
VEX.256.66.0F38.W0 50 /r                |VPDPBUSD ymm1, ymm2,ymm3/m256
VPDPBUSDS—Multiply
VEX.128.66.0F38.W0 51 /r                |VPDPBUSDS xmm1, xmm2,xmm3/m128
VEX.256.66.0F38.W0 51 /r                |VPDPBUSDS ymm1, ymm2,ymm3/m256
VPDPWSSD—Multiply
VEX.128.66.0F38.W0 52 /r                |VPDPWSSD xmm1, xmm2,xmm3/m128
VEX.256.66.0F38.W0 52 /r                |VPDPWSSD ymm1, ymm2,ymm3/m256
VPDPWSSDS—Multiply
VEX.128.66.0F38.W0 53 /r                |VPDPWSSDS xmm1, xmm2,xmm3/m128
VEX.256.66.0F38.W0 53 /r                |VPDPWSSDS ymm1, ymm2,ymm3/m256
VPERM2F128—Permute
VEX.256.66.0F3A.W0 06 /r ib             |VPERM2F128 ymm1, ymm2, ymm3/m256, imm8
VPERM2I128—Permute
VEX.256.66.0F3A.W0 46 /r ib             |VPERM2I128 ymm1, ymm2, ymm3/m256, imm8
VPERMD/VPERMW—Permute
VEX.256.66.0F38.W0 36 /r                |VPERMD ymm1, ymm2, ymm3/m256
VPERMILPD—Permute
VEX.128.66.0F38.W0 0D /r                |VPERMILPD xmm1, xmm2, xmm3/m128
VEX.256.66.0F38.W0 0D /r                |VPERMILPD ymm1, ymm2, ymm3/m256
VEX.128.66.0F3A.W0 05 /r ib             |VPERMILPD xmm1, xmm2/m128, imm8
VEX.256.66.0F3A.W0 05 /r ib             |VPERMILPD ymm1, ymm2/m256, imm8
VPERMILPS—Permute
VEX.128.66.0F38.W0 0C /r                |VPERMILPS xmm1, xmm2, xmm3/m128
VEX.128.66.0F3A.W0 04 /r ib             |VPERMILPS xmm1, xmm2/m128, imm8
VEX.256.66.0F38.W0 0C /r                |VPERMILPS ymm1, ymm2, ymm3/m256
VEX.256.66.0F3A.W0 04 /r ib             |VPERMILPS ymm1, ymm2/m256, imm8
VPERMPD—Permute
VEX.256.66.0F3A.W1 01 /r ib             |VPERMPD ymm1, ymm2/m256, imm8
VPERMPS—Permute
VEX.256.66.0F38.W0 16 /r                |VPERMPS ymm1, ymm2,ymm3/m256
VPERMQ—Qwords
VEX.256.66.0F3A.W1 00 /r ib             |VPERMQ ymm1, ymm2/m256, imm8
VPGATHERDD/VPGATHERQD—Gather
VEX.128.66.0F38.W0 90 /r                |VPGATHERDD xmm1, vm32x, xmm2
VEX.128.66.0F38.W0 91 /r                |VPGATHERQD xmm1, vm64x, xmm2
VEX.256.66.0F38.W0 90 /r                |VPGATHERDD ymm1, vm32y, ymm2
VEX.256.66.0F38.W0 91 /r                |VPGATHERQD xmm1, vm64y, xmm2
VPGATHERDQ/VPGATHERQQ—Gather
VEX.128.66.0F38.W1 90 /r                |VPGATHERDQ xmm1, vm32x, xmm2
VEX.128.66.0F38.W1 91 /r                |VPGATHERQQ xmm1, vm64x, xmm2
VEX.256.66.0F38.W1 90 /r                |VPGATHERDQ ymm1, vm32x, ymm2
VEX.256.66.0F38.W1 91 /r                |VPGATHERQQ ymm1, vm64y, ymm2
VPMASKMOV—Conditional
VEX.128.66.0F38.W0 8C /r                |VPMASKMOVD xmm1, xmm2, m128
VEX.256.66.0F38.W0 8C /r                |VPMASKMOVD ymm1, ymm2, m256
VEX.128.66.0F38.W1 8C /r                |VPMASKMOVQ xmm1, xmm2, m128
VEX.256.66.0F38.W1 8C /r                |VPMASKMOVQ ymm1, ymm2, m256
VEX.128.66.0F38.W0 8E /r                |VPMASKMOVD m128, xmm1, xmm2
VEX.256.66.0F38.W0 8E /r                |VPMASKMOVD m256, ymm1, ymm2
VEX.128.66.0F38.W1 8E /r                |VPMASKMOVQ m128, xmm1, xmm2
VEX.256.66.0F38.W1 8E /r                |VPMASKMOVQ m256, ymm1, ymm2
VPSLLVW/VPSLLVD/VPSLLVQ—Variable
VEX.128.66.0F38.W0 47 /r                |VPSLLVD xmm1, xmm2, xmm3/m128
VEX.128.66.0F38.W1 47 /r                |VPSLLVQ xmm1, xmm2, xmm3/m128
VEX.256.66.0F38.W0 47 /r                |VPSLLVD ymm1, ymm2, ymm3/m256
VEX.256.66.0F38.W1 47 /r                |VPSLLVQ ymm1, ymm2, ymm3/m256
VPSRAVW/VPSRAVD/VPSRAVQ—Variable
VEX.128.66.0F38.W0 46 /r                |VPSRAVD xmm1, xmm2, xmm3/m128
VEX.256.66.0F38.W0 46 /r                |VPSRAVD ymm1, ymm2, ymm3/m256
VPSRLVW/VPSRLVD/VPSRLVQ—Variable
VEX.128.66.0F38.W0 45 /r                |VPSRLVD xmm1, xmm2, xmm3/m128
VEX.128.66.0F38.W1 45 /r                |VPSRLVQ xmm1, xmm2, xmm3/m128
VEX.256.66.0F38.W0 45 /r                |VPSRLVD ymm1, ymm2, ymm3/m256
VEX.256.66.0F38.W1 45 /r                |VPSRLVQ ymm1, ymm2, ymm3/m256
VTESTPD/VTESTPS—Packed
VEX.128.66.0F38.W0 0E /r                |VTESTPS xmm1, xmm2/m128
VEX.256.66.0F38.W0 0E /r                |VTESTPS ymm1, ymm2/m256
VEX.128.66.0F38.W0 0F /r                |VTESTPD xmm1, xmm2/m128
VEX.256.66.0F38.W0 0F /r                |VTESTPD ymm1, ymm2/m256
VZEROALL—Zero
VEX.256.0F.WIG 77                       |VZEROALL
VZEROUPPER—Zero
VEX.128.0F.WIG 77                       |VZEROUPPER
WAIT/FWAIT—Wait
9B                                      |WAIT
9B                                      |FWAIT
WBINVD—Write
0F 09                                   |WBINVD
WBNOINVD—Write
F3 0F 09                                |WBNOINVD
WRFSBASE/WRGSBASE—Write
F3 0F AE /2                             |WRFSBASE r32
F3 REX.W 0F AE /2                       |WRFSBASE r64
F3 0F AE /3                             |WRGSBASE r32
F3 REX.W 0F AE /3                       |WRGSBASE r64
WRMSR—Write
0F 30                                   |WRMSR
WRPKRU—Write
NP 0F 01 EF                             |WRPKRU
WRSSD/WRSSQ—Write
0F 38 F6 !(11):rrr:bbb                  |WRSSD m32, r32
REX.W 0F 38 F6 !(11):rrr:bbb            |WRSSQ m64, r64
WRUSSD/WRUSSQ—Write
66 0F 38 F5 !(11):rrr:bbb               |WRUSSD m32, r32
66 REX.W 0F 38 F5 !(11):rrr:bbb         |WRUSSQ m64, r64
XABORT—Transactional
C6 F8 ib                                |XABORT imm8
XADD—Exchange
0F C0 /r                                |XADD r/m8, r8
REX + 0F C0 /r                          |XADD r/m8, r8
0F C1 /r                                |XADD r/m16, r16
0F C1 /r                                |XADD r/m32, r32
REX.W + 0F C1 /r                        |XADD r/m64, r64
XBEGIN—Transactional
C7 F8                                   |XBEGIN rel16
C7 F8                                   |XBEGIN rel32
XCHG—Exchange
90+rw                                   |XCHG AX, r16
90+rw                                   |XCHG r16, AX
90+rd                                   |XCHG EAX, r32
REX.W + 90+rd                           |XCHG RAX, r64
90+rd                                   |XCHG r32, EAX
REX.W + 90+rd                           |XCHG r64, RAX
86 /r                                   |XCHG r/m8, r8
REX + 86 /r                             |XCHG r/m8, r8
86 /r                                   |XCHG r8, r/m8
REX + 86 /r                             |XCHG r8, r/m8
87 /r                                   |XCHG r/m16, r16
87 /r                                   |XCHG r16, r/m16
87 /r                                   |XCHG r/m32, r32
REX.W + 87 /r                           |XCHG r/m64, r64
87 /r                                   |XCHG r32, r/m32
REX.W + 87 /r                           |XCHG r64, r/m64
XEND—Transactional
NP 0F 01 D5                             |XEND
XGETBV—Get
NP 0F 01 D0                             |XGETBV
XLAT/XLATB—Table
D7                                      |XLAT m8
D7                                      |XLATB
REX.W + D7                              |XLATB
XOR—Logical
34 ib                                   |XOR AL, imm8
35 iw                                   |XOR AX, imm16
35 id                                   |XOR EAX, imm32
REX.W + 35 id                           |XOR RAX, imm32
80 /6 ib                                |XOR r/m8, imm8
REX + 80 /6 ib                          |XOR r/m8, imm8
81 /6 iw                                |XOR r/m16, imm16
81 /6 id                                |XOR r/m32, imm32
REX.W + 81 /6 id                        |XOR r/m64, imm32
83 /6 ib                                |XOR r/m16, imm8
83 /6 ib                                |XOR r/m32, imm8
REX.W + 83 /6 ib                        |XOR r/m64, imm8
30 /r                                   |XOR r/m8, r8
REX + 30 /r                             |XOR r/m8, r8
31 /r                                   |XOR r/m16, r16
31 /r                                   |XOR r/m32, r32
REX.W + 31 /r                           |XOR r/m64, r64
32 /r                                   |XOR r8, r/m8
REX + 32 /r                             |XOR r8, r/m8
33 /r                                   |XOR r16, r/m16
33 /r                                   |XOR r32, r/m32
REX.W + 33 /r                           |XOR r64, r/m64
XORPD—Bitwise
66 0F 57/r                              |XORPD xmm1, xmm2/m128
VEX.128.66.0F.WIG 57 /r                 |VXORPD xmm1,xmm2, xmm3/m128
VEX.256.66.0F.WIG 57 /r                 |VXORPD ymm1, ymm2, ymm3/m256
XORPS—Bitwise
NP 0F 57 /r                             |XORPS xmm1, xmm2/m128
VEX.128.0F.WIG 57 /r                    |VXORPS xmm1,xmm2, xmm3/m128
VEX.256.0F.WIG 57 /r                    |VXORPS ymm1, ymm2, ymm3/m256
XRESLDTRK—Resume
F2 0F 01 E9                             |XRESLDTRK
XRSTOR—Restore
NP 0F AE /5                             |XRSTOR mem
NP REX.W + 0F AE /5                     |XRSTOR64 mem
XRSTORS—Restore
NP 0F C7 /3                             |XRSTORS mem
NP REX.W + 0F C7 /3                     |XRSTORS64 mem
XSAVE—Save
NP 0F AE /4                             |XSAVE mem
NP REX.W + 0F AE /4                     |XSAVE64 mem
XSAVEC—Save
NP 0F C7 /4                             |XSAVEC mem
NP REX.W + 0F C7 /4                     |XSAVEC64 mem
XSAVEOPT—Save
NP 0F AE /6                             |XSAVEOPT mem
NP REX.W + 0F AE /6                     |XSAVEOPT64 mem
XSAVES—Save
NP 0F C7 /5                             |XSAVES mem
NP REX.W + 0F C7 /5                     |XSAVES64 mem
XSETBV—Set
NP 0F 01 D1                             |XSETBV
XSUSLDTRK—Suspend
F2 0F 01 E8                             |XSUSLDTRK
XTEST—Test
NP 0F 01 D6                             |XTEST
